,genre,code,name,type,startdate,enddate,target,level,url
0,신기술,ASP00001J101020160000029,인터넷 활용 [온라인수강신청]  → 통합로그인 후 수강신청 가능합니다. ,오프라인,2020-07-21,2020-11-06,없음,없음,http://edupia.dobong.go.kr/DobongInfoEdu/LecDetail.asp?TopMenu=2&LeftMenu=2&BoardCode=46&OPEN_COURSE_SEQ=3230&Page=1
0,언어,ASP00001S1001201100001,친절한 영문법,온라인,2011-12-01,2012-03-30,영문법이란 말만 들어도 골치 아프다며 절레절레 머리를 흔드는 분 영문법 기초부터 다시 시작하고 싶은 분,초급,없음
1,자기계발,ASP00001S1001201100099,[공인중개사]부동산학개론 이론,온라인,2011-12-01,2012-03-30,공인중개사 자격증 취득을 위해 공부하는 분 ,중급,없음
1,신기술,ASP00001J101020160000026,스마트폰기초&활용(평생학습관) [온라인수강신청]  → 통합로그인 후 수강신청 가능합니다. ,오프라인,2020-07-21,2020-11-06,없음,없음,http://edupia.dobong.go.kr/DobongInfoEdu/LecDetail.asp?TopMenu=2&LeftMenu=2&BoardCode=46&OPEN_COURSE_SEQ=3227&Page=1
2,자기계발,ASP00001S1001201100105,[주택관리사]민법 이론,온라인,2011-12-01,2012-03-30,주택관리사 자격증 취득을 위해 공부하는 분 ,중급,없음
2,신기술,ASP00001J101020160000028,컴퓨터기초(어르신2개월) [온라인수강신청]  → 통합로그인 후 수강신청 가능합니다. ,오프라인,2020-07-21,2020-11-06,없음,없음,http://edupia.dobong.go.kr/DobongInfoEdu/LecDetail.asp?TopMenu=2&LeftMenu=2&BoardCode=46&OPEN_COURSE_SEQ=3229&Page=1
3,자기계발,ASP00001S1001201100106,[주택관리사]회계원리 이론,온라인,2011-12-01,2012-03-30,주택관리사 자격증 취득을 위해 공부하는 분 ,중급,없음
3,신기술,ASP00001J101020160000027,DIAT자격증(한글) [온라인수강신청]  → 통합로그인 후 수강신청 가능합니다. ,오프라인,2020-07-21,2020-11-06,없음,없음,http://edupia.dobong.go.kr/DobongInfoEdu/LecDetail.asp?TopMenu=2&LeftMenu=2&BoardCode=46&OPEN_COURSE_SEQ=3228&Page=1
4,자기계발,ASP00001S1001201100107,[주택관리사]공동주택시설개론 이론,온라인,2011-12-01,2012-03-30,주택관리사 자격증 취득을 위해 공부하는 분 ,중급,없음
4,신기술,ASP00001J101020160000016,한글2010(59세이하평생학습관) [온라인수강신청]  → 통합로그인 후 수강신청 가능합니다. ,오프라인,2020-07-13,2020-10-29,없음,없음,http://edupia.dobong.go.kr/DobongInfoEdu/LecDetail.asp?TopMenu=2&LeftMenu=2&BoardCode=46&OPEN_COURSE_SEQ=3254&Page=1
5,자기계발,ASP00001S1001201100108,[주택관리사]주택관리 관계법규 이론,온라인,2011-12-01,2012-03-30,주택관리사 자격증 취득을 위해 공부하는 분 ,중급,없음
5,신기술,ASP00001J101020160000018,인터넷 기초&활용 [온라인수강신청]  → 통합로그인 후 수강신청 가능합니다. ,오프라인,2020-07-13,2020-10-29,없음,없음,http://edupia.dobong.go.kr/DobongInfoEdu/LecDetail.asp?TopMenu=2&LeftMenu=2&BoardCode=46&OPEN_COURSE_SEQ=3256&Page=1
6,자기계발,ASP00001S1001201100109,[주택관리사]공동주택관리실무 이론,온라인,2011-12-01,2012-03-30,주택관리사 자격증 취득을 위해 공부하는 분 ,중급,없음
6,신기술,ASP00001J101020160000015,엑셀2010(2개월과정효문고등학교) [온라인수강신청]  → 통합로그인 후 수강신청 가능합니다. ,오프라인,2020-07-13,2020-10-29,없음,없음,http://edupia.dobong.go.kr/DobongInfoEdu/LecDetail.asp?TopMenu=2&LeftMenu=2&BoardCode=46&OPEN_COURSE_SEQ=3253&Page=1
7,예술,ASP00001S1001201100127,손끝의 아름다움을 위한 럭셔리 네일아트 (1),온라인,2011-12-01,2012-03-30,네일아트를 직접 배워보고 싶은 분 네일아트 창업에 도전하고자 하는 분,초급,없음
7,신기술,ASP00001J101020160000017,컴퓨터기초 [온라인수강신청]  → 통합로그인 후 수강신청 가능합니다. ,오프라인,2020-07-13,2020-10-29,없음,없음,http://edupia.dobong.go.kr/DobongInfoEdu/LecDetail.asp?TopMenu=2&LeftMenu=2&BoardCode=46&OPEN_COURSE_SEQ=3255&Page=1
8,예술,ASP00001S1001201100128,손끝의 아름다움을 위한 럭셔리 네일아트 (2),온라인,2011-12-01,2012-03-30,네일아트를 직접 배워보고 싶은 분 네일아트 창업에 도전하고자 하는 분,초급,없음
8,신기술,ASP00001J101020160000003,엑셀2010 [온라인수강신청]  → 통합로그인 후 수강신청 가능합니다. ,오프라인,2020-07-05,2020-10-21,없음,없음,http://edupia.dobong.go.kr/DobongInfoEdu/LecDetail.asp?TopMenu=2&LeftMenu=2&BoardCode=46&OPEN_COURSE_SEQ=3278&Page=1
9,신기술,ASP0000120160000295,인터넷 기초&활용 [온라인수강신청]  → 통합로그인 후 수강신청 가능합니다. ,오프라인,2020-07-05,2020-10-21,없음,없음,http://edupia.dobong.go.kr/DobongInfoEdu/LecDetail.asp?TopMenu=2&LeftMenu=2&BoardCode=46&OPEN_COURSE_SEQ=3279&Page=1
9,자기계발,ASP00001S1001201100129,창업을 위한 서비스업과 프랜차이즈 이해와 분석 (1),온라인,2011-12-01,2012-03-30,창업에 관심 있는 모든 분 서비스업 및 프랜차이즈를 통한 창업을 계획하고 있는 분,초급,없음
10,신기술,ASP0000120160000296,스마트폰 기초&활용 [온라인수강신청]  → 통합로그인 후 수강신청 가능합니다. ,오프라인,2020-07-05,2020-10-21,없음,없음,http://edupia.dobong.go.kr/DobongInfoEdu/LecDetail.asp?TopMenu=2&LeftMenu=2&BoardCode=46&OPEN_COURSE_SEQ=3280&Page=1
10,자기계발,ASP00001S1001201100130,창업을 위한 서비스업과 프랜차이즈 이해와 분석 (2),온라인,2011-12-01,2012-03-30,창업에 관심 있는 모든 분 서비스업 및 프랜차이즈를 통한 창업을 계획하고 있는 분,초급,없음
11,신기술,ASP00001J101020160000005,스마트폰 기초&활용 [온라인수강신청]  → 통합로그인 후 수강신청 가능합니다. ,오프라인,2020-07-05,2020-10-21,없음,없음,http://edupia.dobong.go.kr/DobongInfoEdu/LecDetail.asp?TopMenu=2&LeftMenu=2&BoardCode=46&OPEN_COURSE_SEQ=3280&Page=1
11,예술,ASP00001S1001201100133,완전소중 우리 아이옷 만들기 DIY (2),온라인,2011-12-01,2012-03-30,내 손으로 아이의 옷을 직접 만들어 입혀 주고 싶은 분 재봉틀을 이용한 의상 및 소품 제작에 취미가 있는 분,초급,없음
12,자기계발,ASP00001S1001201100100,[공인중개사]민법 및 민사특별법 이론,온라인,2011-12-01,2012-03-30,공인중개사 자격증 취득을 위해 공부하는 분 ,중급,없음
12,신기술,ASP0000120160000294,엑셀2010 [온라인수강신청]  → 통합로그인 후 수강신청 가능합니다. ,오프라인,2020-07-05,2020-10-21,없음,없음,http://edupia.dobong.go.kr/DobongInfoEdu/LecDetail.asp?TopMenu=2&LeftMenu=2&BoardCode=46&OPEN_COURSE_SEQ=3278&Page=1
13,신기술,ASP00001S1001201100135,디지털 카메라 활용 방법과 셀프 촬영의 노하우 전수(1),온라인,2011-12-01,2012-03-30,디지털 카메라의 사용과 디지털 이미지의 활용법에 대해 익히고 싶은 분,초급,없음
13,신기술,ASP00001J101020160000004,인터넷 기초&활용 [온라인수강신청]  → 통합로그인 후 수강신청 가능합니다. ,오프라인,2020-07-05,2020-10-21,없음,없음,http://edupia.dobong.go.kr/DobongInfoEdu/LecDetail.asp?TopMenu=2&LeftMenu=2&BoardCode=46&OPEN_COURSE_SEQ=3279&Page=1
14,신기술,ASP00001S1001201100136,디지털 카메라 활용 방법과 셀프 촬영의 노하우 전수(2),온라인,2011-12-01,2012-03-30,디지털 카메라의 사용과 디지털 이미지의 활용법에 대해 익히고 싶은 분,초급,없음
14,신기술,ASP00001J101020160000060,한글2010 [온라인수강신청]  → 통합로그인 후 수강신청 가능합니다. ,오프라인,2020-07-01,2020-10-17,없음,없음,http://edupia.dobong.go.kr/DobongInfoEdu/LecDetail.asp?TopMenu=2&LeftMenu=2&BoardCode=46&OPEN_COURSE_SEQ=3189&Page=1
15,신기술,ASP00001J101020160000061,컴퓨터기초 [온라인수강신청]  → 통합로그인 후 수강신청 가능합니다. ,오프라인,2020-07-01,2020-10-17,없음,없음,http://edupia.dobong.go.kr/DobongInfoEdu/LecDetail.asp?TopMenu=2&LeftMenu=2&BoardCode=46&OPEN_COURSE_SEQ=3190&Page=1
15,예술,ASP00001S1001201100096,환상으로 가는 라틴미술여행,온라인,2011-12-01,2012-03-30,미술 애호가 라틴 문화에 관심 있는 분,초급,없음
16,신기술,ASP0000120160000530,소셜미디어 [온라인수강신청]  → 통합로그인 후 수강신청 가능합니다. ,오프라인,2020-07-01,2020-10-17,없음,없음,http://edupia.dobong.go.kr/DobongInfoEdu/LecDetail.asp?TopMenu=2&LeftMenu=2&BoardCode=46&OPEN_COURSE_SEQ=3188&Page=1
16,예술,ASP00001S1001201100131,오래된 가구 새것으로 바꾸는 생활속 리폼,온라인,2011-12-01,2012-03-30,홈인테리어에 관심이 많은 분 DIY 인테리어 및 리폼 노하우에 대하여 배우고 싶은 분,초급,없음
17,신기술,ASP00001J101020160000059,소셜미디어 [온라인수강신청]  → 통합로그인 후 수강신청 가능합니다. ,오프라인,2020-07-01,2020-10-17,없음,없음,http://edupia.dobong.go.kr/DobongInfoEdu/LecDetail.asp?TopMenu=2&LeftMenu=2&BoardCode=46&OPEN_COURSE_SEQ=3188&Page=1
17,예술,ASP00001S1001201100132,완전소중 우리 아이옷 만들기 DIY (1),온라인,2011-12-01,2012-03-30,내 손으로 아이의 옷을 직접 만들어 입혀 주고 싶은 분 재봉틀을 이용한 의상 및 소품 제작에 취미가 있는 분,초급,없음
18,예술,ASP00001S1001201100134,사랑스런 우리 강아지를 위한 애견용품 DIY,온라인,2011-12-01,2012-03-30,강아지를 사랑하는 분 DIY에 관심 있는 분,초급,없음
18,신기술,ASP0000120160000531,한글2010 [온라인수강신청]  → 통합로그인 후 수강신청 가능합니다. ,오프라인,2020-07-01,2020-10-17,없음,없음,http://edupia.dobong.go.kr/DobongInfoEdu/LecDetail.asp?TopMenu=2&LeftMenu=2&BoardCode=46&OPEN_COURSE_SEQ=3189&Page=1
19,신기술,ASP0000120160000532,컴퓨터기초 [온라인수강신청]  → 통합로그인 후 수강신청 가능합니다. ,오프라인,2020-07-01,2020-10-17,없음,없음,http://edupia.dobong.go.kr/DobongInfoEdu/LecDetail.asp?TopMenu=2&LeftMenu=2&BoardCode=46&OPEN_COURSE_SEQ=3190&Page=1
19,예술,ASP00001S1001201100137,풍선아트-풍선으로 만드는 멋진 세상(1),온라인,2011-12-01,2012-03-30,풍선 아트에 관심 있고 직접 배워 보고자 하는 분,초급,없음
20,신기술,ASP0000120160001839,인터넷활용 [온라인수강신청]  → 통합로그인 후 수강신청 가능합니다. ,오프라인,2020-06-27,2020-10-13,없음,없음,http://edupia.dobong.go.kr/DobongInfoEdu/LecDetail.asp?TopMenu=2&LeftMenu=2&BoardCode=46&OPEN_COURSE_SEQ=3298&Page=1
20,예술,ASP00001S1001201100138,풍선아트-풍선으로 만드는 멋진 세상(2),온라인,2011-12-01,2012-03-30,풍선 아트에 관심 있고 직접 배워 보고자 하는 분,초급,없음
21,신기술,ASP00001J101020170000165,엑셀과 파워포인트 [온라인수강신청],오프라인,2020-06-27,2020-10-13,없음,없음,http://edupia.dobong.go.kr/DobongInfoEdu/LecDetail.asp?TopMenu=5&LeftMenu=18&BoardCode=46&OPEN_COURSE_SEQ=3297&Page=7
21,예술,ASP00001S1001201100097,오페라 노트,온라인,2011-12-01,2012-03-30,클래식 애호가 오페라를 잘 이해하고 즐겁게 감상하고자 하는 분,초급,없음
22,신기술,ASP00001J101020170000164,인터넷활용 [온라인수강신청],오프라인,2020-06-27,2020-10-13,없음,없음,http://edupia.dobong.go.kr/DobongInfoEdu/LecDetail.asp?TopMenu=5&LeftMenu=18&BoardCode=46&OPEN_COURSE_SEQ=3298&Page=7
22,예술,ASP00001S1001201100098,조윤범의 파워클래식,온라인,2011-12-01,2012-03-30,클래식 애호가 클래식 음악 감상에 입문하고자 하는 분 ,초급,없음
23,예술,ASP00001S1001201100095,김선희교수의 발레이야기,온라인,2011-12-01,2012-03-30,무용 전공자 / 전공예정자  기타 무용(발레)에 관심이 많은 일반인 ,초급,없음
23,신기술,ASP00001J101020170000080,엑셀과 파워포인트 [온라인수강신청],오프라인,2020-06-27,2020-10-13,없음,없음,http://edupia.dobong.go.kr/DobongInfoEdu/LecDetail.asp?TopMenu=2&LeftMenu=2&BoardCode=46&OPEN_COURSE_SEQ=3297&Page=10
24,기타,ASP00001S1001201100089,문화민주주의를 향하여    ,온라인,2011-12-01,2012-03-30,변화하는 현대사회에서 대두되는 새로운 시민적 소양에 관하여 알고 싶은 분 ,초급,없음
24,신기술,ASP00001J101020170000079,인터넷활용 [온라인수강신청],오프라인,2020-06-27,2020-10-13,없음,없음,http://edupia.dobong.go.kr/DobongInfoEdu/LecDetail.asp?TopMenu=2&LeftMenu=2&BoardCode=46&OPEN_COURSE_SEQ=3298&Page=10
25,기타,ASP00001S1001201100090,선진한국과 개발협력,온라인,2011-12-01,2012-03-30,세계화 시대에 요구되는 시민으로서의 역량에 대해 관심을 가진 분  현대사회를 바라보는 보다 국제적인 안목을 기르고 싶은 분 ,초급,없음
25,신기술,ASP0000120160001838,엑셀과 파워포인트 [온라인수강신청]  → 통합로그인 후 수강신청 가능합니다. ,오프라인,2020-06-27,2020-10-13,없음,없음,http://edupia.dobong.go.kr/DobongInfoEdu/LecDetail.asp?TopMenu=2&LeftMenu=2&BoardCode=46&OPEN_COURSE_SEQ=3297&Page=1
26,기타,ASP00001S1001201100091,유물이 말하는 한국 고대사,온라인,2011-12-01,2012-03-30,새롭게 조명되는 한국 고대사에 관하여 알고 싶은 분 유물 및 유적 답사에 흥미가 있는 분,초급,없음
26,신기술,ASP00001J101020160000077,인터넷활용 [온라인수강신청]  → 통합로그인 후 수강신청 가능합니다. ,오프라인,2020-06-27,2020-10-13,없음,없음,http://edupia.dobong.go.kr/DobongInfoEdu/LecDetail.asp?TopMenu=2&LeftMenu=2&BoardCode=46&OPEN_COURSE_SEQ=3298&Page=1
27,기타,ASP00001S1001201100085,생명의 이해와 녹색문명,온라인,2011-12-01,2012-03-30,과학철학 분야에 관심이 많은 분 현대과학의 발전 속에서 생명이 가지는 의미와 가치를 되새겨보고 싶은 분 ,초급,없음
27,신기술,ASP00001J101020160000076,엑셀과 파워포인트 [온라인수강신청]  → 통합로그인 후 수강신청 가능합니다. ,오프라인,2020-06-27,2020-10-13,없음,없음,http://edupia.dobong.go.kr/DobongInfoEdu/LecDetail.asp?TopMenu=2&LeftMenu=2&BoardCode=46&OPEN_COURSE_SEQ=3297&Page=1
28,예술,ASP00001S1001201100086,놓치지 말아야 할 12명의 소설가 - 김원일오정희최인호이인성,온라인,2011-12-01,2012-03-30,소설을 사랑하고 우리나라 대표 소설가들을 더욱 깊이 알고 싶은 분,초급,없음
28,신기술,ASP00001J101020160000073,한글을 활용한 문서 디자인 [온라인수강신청]  → 통합로그인 후 수강신청 가능합니다. ,오프라인,2020-06-27,2020-10-13,없음,없음,http://edupia.dobong.go.kr/DobongInfoEdu/LecDetail.asp?TopMenu=2&LeftMenu=2&BoardCode=46&OPEN_COURSE_SEQ=3293&Page=1
29,예술,ASP00001S1001201100087,놓치지 말아야 할 12명의 소설가 - 조세희?이문구?박경리?황석영,온라인,2011-12-01,2012-03-30,소설을 사랑하고 우리나라 대표 소설가들을 더욱 깊이 알고 싶은 분,초급,없음
29,신기술,ASP00001J101020160000072,스마트폰 기초 [온라인수강신청]  → 통합로그인 후 수강신청 가능합니다. ,오프라인,2020-06-27,2020-10-13,없음,없음,http://edupia.dobong.go.kr/DobongInfoEdu/LecDetail.asp?TopMenu=2&LeftMenu=2&BoardCode=46&OPEN_COURSE_SEQ=3291&Page=1
30,예술,ASP00001S1001201100088,놓치지 말아야 할 12명의 소설가 - 최인훈?서정인?이청준?김승옥     ,온라인,2011-12-01,2012-03-30,소설을 사랑하고 우리나라 대표 소설가들을 더욱 깊이 알고 싶은 분,초급,없음
30,신기술,ASP00001J101020170000171,스마트폰 기초 [온라인수강신청],오프라인,2020-06-27,2020-10-13,없음,없음,http://edupia.dobong.go.kr/DobongInfoEdu/LecDetail.asp?TopMenu=5&LeftMenu=18&BoardCode=46&OPEN_COURSE_SEQ=3291&Page=7
31,예술,ASP00001S1001201100092,why? &amp; what? [1] - 소크라테스의 7가지 지혜 外,온라인,2011-12-01,2012-03-30,끊임없는 호기심으로 삶을 바라보는 철학적 사고에 목마른 분,초급,없음
31,신기술,ASP0000120160001835,한글을 활용한 문서 디자인 [온라인수강신청]  → 통합로그인 후 수강신청 가능합니다. ,오프라인,2020-06-27,2020-10-13,없음,없음,http://edupia.dobong.go.kr/DobongInfoEdu/LecDetail.asp?TopMenu=2&LeftMenu=2&BoardCode=46&OPEN_COURSE_SEQ=3293&Page=1
32,예술,ASP00001S1001201100093,why? &amp; what? [2] - 임금님이 있었습니다 外,온라인,2011-12-01,2012-03-30,끊임없는 호기심으로 삶을 바라보는 철학적 사고에 목마른 분 ,초급,없음
32,신기술,ASP0000120160001836,전자앨범 만들기 [온라인수강신청]  → 통합로그인 후 수강신청 가능합니다. ,오프라인,2020-06-27,2020-10-13,없음,없음,http://edupia.dobong.go.kr/DobongInfoEdu/LecDetail.asp?TopMenu=2&LeftMenu=2&BoardCode=46&OPEN_COURSE_SEQ=3294&Page=1
33,예술,ASP00001S1001201100094,why? &amp; what? [3] - 파랑새를 찾아서 外,온라인,2011-12-01,2012-03-30,끊임없는 호기심으로 삶을 바라보는 철학적 사고에 목마른 분,초급,없음
33,신기술,ASP0000120160001837,컴퓨터기초(어르신2개월) [온라인수강신청]  → 통합로그인 후 수강신청 가능합니다. ,오프라인,2020-06-27,2020-10-13,없음,없음,http://edupia.dobong.go.kr/DobongInfoEdu/LecDetail.asp?TopMenu=2&LeftMenu=2&BoardCode=46&OPEN_COURSE_SEQ=3295&Page=1
34,자기계발,ASP00001S1001201100101,[공인중개사]부동산공법 이론,온라인,2011-12-01,2012-03-30,공인중개사 자격증 취득을 위해 공부하는 분,중급,없음
34,신기술,ASP0000120160001834,스마트폰 기초 [온라인수강신청]  → 통합로그인 후 수강신청 가능합니다. ,오프라인,2020-06-27,2020-10-13,없음,없음,http://edupia.dobong.go.kr/DobongInfoEdu/LecDetail.asp?TopMenu=2&LeftMenu=2&BoardCode=46&OPEN_COURSE_SEQ=3291&Page=1
35,기타,ASP00001S1001201100102,[공인중개사]공인중개사법 및 중개실무 이론,온라인,2011-12-01,2012-03-30,공인중개사 자격증 취득을 위해 공부하는 분 ,중급,없음
35,신기술,ASP00001J101020170000090,컴퓨터기초(어르신2개월) [온라인수강신청],오프라인,2020-06-27,2020-10-13,없음,없음,http://edupia.dobong.go.kr/DobongInfoEdu/LecDetail.asp?TopMenu=2&LeftMenu=2&BoardCode=46&OPEN_COURSE_SEQ=3295&Page=10
36,자기계발,ASP00001S1001201100103,[공인중개사]부동산공시법 이론,온라인,2011-12-01,2012-03-30,공인중개사 자격증 취득을 위해 공부하는 분 ,중급,없음
36,신기술,ASP00001J101020170000091,전자앨범 만들기 [온라인수강신청],오프라인,2020-06-27,2020-10-13,없음,없음,http://edupia.dobong.go.kr/DobongInfoEdu/LecDetail.asp?TopMenu=2&LeftMenu=2&BoardCode=46&OPEN_COURSE_SEQ=3294&Page=10
37,자기계발,ASP00001S1001201100104,[공인중개사]부동산세법 이론,온라인,2011-12-01,2012-03-30,공인중개사 자격증 취득을 위해 공부하는 분 ,중급,없음
37,신기술,ASP00001J101020170000081,한글을 활용한 문서 디자인 [온라인수강신청],오프라인,2020-06-27,2020-10-13,없음,없음,http://edupia.dobong.go.kr/DobongInfoEdu/LecDetail.asp?TopMenu=2&LeftMenu=2&BoardCode=46&OPEN_COURSE_SEQ=3293&Page=10
38,자기계발,ASP00001S1001201100114,[한자능력검정시험]한자능력시험대비 1급 이론,온라인,2011-12-01,2012-03-30,한자능력시험 1급 자격증 취득을 희망하는 분,고급,없음
38,신기술,ASP00001J101020170000082,스마트폰 기초 [온라인수강신청],오프라인,2020-06-27,2020-10-13,없음,없음,http://edupia.dobong.go.kr/DobongInfoEdu/LecDetail.asp?TopMenu=2&LeftMenu=2&BoardCode=46&OPEN_COURSE_SEQ=3291&Page=10
39,자기계발,ASP00001S1001201100115,[한자능력검정시험]한자능력시험대비 2급 이론,온라인,2011-12-01,2012-03-30,한자능력시험 2급 자격증 취득을 희망하는 분,중급,없음
39,신기술,ASP00001J101020170000168,컴퓨터기초(어르신2개월) [온라인수강신청],오프라인,2020-06-27,2020-10-13,없음,없음,http://edupia.dobong.go.kr/DobongInfoEdu/LecDetail.asp?TopMenu=5&LeftMenu=18&BoardCode=46&OPEN_COURSE_SEQ=3295&Page=7
40,자기계발,ASP00001S1001201100125,인사 팀장들이 제시한 직무 선택법과 눈높이 취업전략 (1),온라인,2011-12-01,2012-03-30,졸업 예정자 등 취업을 준비하는 분,초급,없음
40,신기술,ASP00001J101020170000169,전자앨범 만들기 [온라인수강신청],오프라인,2020-06-27,2020-10-13,없음,없음,http://edupia.dobong.go.kr/DobongInfoEdu/LecDetail.asp?TopMenu=5&LeftMenu=18&BoardCode=46&OPEN_COURSE_SEQ=3294&Page=7
41,자기계발,ASP00001S1001201100126,인사 팀장들이 제시한 직무 선택법과 눈높이 취업전략 (2),온라인,2011-12-01,2012-03-30,졸업 예정자 등 취업을 준비하는 분,초급,없음
41,신기술,ASP00001J101020170000170,한글을 활용한 문서 디자인 [온라인수강신청],오프라인,2020-06-27,2020-10-13,없음,없음,http://edupia.dobong.go.kr/DobongInfoEdu/LecDetail.asp?TopMenu=5&LeftMenu=18&BoardCode=46&OPEN_COURSE_SEQ=3293&Page=7
42,자기계발,ASP00001S1001201100117,[사회복지사]인간행동과 사회환경 이론,온라인,2011-12-01,2012-03-30,사회복지사1급 자격증 취득을 희망하는 분,중급,없음
42,신기술,ASP00001J101020160000075,컴퓨터기초(어르신2개월) [온라인수강신청]  → 통합로그인 후 수강신청 가능합니다. ,오프라인,2020-06-27,2020-10-13,없음,없음,http://edupia.dobong.go.kr/DobongInfoEdu/LecDetail.asp?TopMenu=2&LeftMenu=2&BoardCode=46&OPEN_COURSE_SEQ=3295&Page=1
43,자기계발,ASP00001S1001201100118,[사회복지사]사회복지실천기술론 이론,온라인,2011-12-01,2012-03-30,사회복지사1급 자격증 취득을 희망하는 분,중급,없음
43,신기술,ASP00001J101020160000074,전자앨범 만들기 [온라인수강신청]  → 통합로그인 후 수강신청 가능합니다. ,오프라인,2020-06-27,2020-10-13,없음,없음,http://edupia.dobong.go.kr/DobongInfoEdu/LecDetail.asp?TopMenu=2&LeftMenu=2&BoardCode=46&OPEN_COURSE_SEQ=3294&Page=1
44,자기계발,ASP00001S1001201100119,[사회복지사]사회복지실천론 이론,온라인,2011-12-01,2012-03-30,사회복지사1급 자격증 취득을 희망하는 분 ,중급,없음
44,신기술,ASP00001J101020160000021,정보화시대에 필요한 문서작성 [온라인수강신청]  → 통합로그인 후 수강신청 가능합니다. ,오프라인,2020-02-03,2020-08-30,없음,없음,http://edupia.dobong.go.kr/lifelongEdu/LecDetail.asp?TopMenu=2&LeftMenu=1&BoardCode=71&OPEN_COURSE_SEQ=3237
45,자기계발,ASP00001S1001201100120,[사회복지사]지역사회복지론 이론,온라인,2011-12-01,2012-03-30,사회복지사1급 자격증 취득을 희망하는 분,중급,없음
45,신기술,ASP0000120160000437,스마트폰 자신 있게 쓰기 [온라인수강신청]  → 통합로그인 후 수강신청 가능합니다. ,오프라인,2020-02-03,2020-08-30,없음,없음,http://edupia.dobong.go.kr/lifelongEdu/LecDetail.asp?TopMenu=2&LeftMenu=1&BoardCode=71&OPEN_COURSE_SEQ=3236
46,자기계발,ASP00001S1001201100121,[사회복지사]사회복지정책론 이론,온라인,2011-12-01,2012-03-30,사회복지사1급 자격증 취득을 희망하는 분,중급,없음
46,신기술,ASP00001J101020160000020,스마트폰 자신 있게 쓰기 [온라인수강신청]  → 통합로그인 후 수강신청 가능합니다. ,오프라인,2020-02-03,2020-08-30,없음,없음,http://edupia.dobong.go.kr/lifelongEdu/LecDetail.asp?TopMenu=2&LeftMenu=1&BoardCode=71&OPEN_COURSE_SEQ=3236
47,자기계발,ASP00001S1001201100122,[사회복지사]사회복지조사론 이론,온라인,2011-12-01,2012-03-30,사회복지사1급 자격증 취득을 희망하는 분,중급,없음
47,신기술,ASP00001J101020170000096,스마트폰 자신 있게 쓰기 [온라인수강신청],오프라인,2020-02-03,2020-08-30,없음,없음,http://edupia.dobong.go.kr/lifelongEdu/LecDetail.asp?TopMenu=2&LeftMenu=1&BoardCode=71&OPEN_COURSE_SEQ=3236
48,자기계발,ASP00001S1001201100123,[사회복지사]사회복지행정론 이론,온라인,2011-12-01,2012-03-30,사회복지사1급 자격증 취득을 희망하는 분 ,중급,없음
48,신기술,ASP00001J101020170000100,정보화시대에 필요한 문서작성 [온라인수강신청],오프라인,2020-02-03,2020-08-30,없음,없음,http://edupia.dobong.go.kr/lifelongEdu/LecDetail.asp?TopMenu=2&LeftMenu=1&BoardCode=71&OPEN_COURSE_SEQ=3237
49,자기계발,ASP00001S1001201100124,[사회복지사]사회복지법제론 이론,온라인,2011-12-01,2012-03-30,사회복지사1급 자격증 취득을 희망하는 분,중급,없음
49,신기술,ASP0000120160000438,정보화시대에 필요한 문서작성 [온라인수강신청]  → 통합로그인 후 수강신청 가능합니다. ,오프라인,2020-02-03,2020-08-30,없음,없음,http://edupia.dobong.go.kr/lifelongEdu/LecDetail.asp?TopMenu=2&LeftMenu=1&BoardCode=71&OPEN_COURSE_SEQ=3237
50,자기계발,ASP00001S1001201100110,[농산물품질관리사]원예작물학 이론,온라인,2011-12-01,2012-03-30,농산물품질관리사 자격증 취득을 희망하는 분,중급,없음
50,기타,ASP0000120160000403,도봉구 평생학습 전문강사 양성과정 [온라인수강신청]  → 통합로그인 후 수강신청 가능합니다. ,오프라인,2020-01-26,2020-08-22,없음,없음,http://edupia.dobong.go.kr/lifelongEdu/LecDetail.asp?TopMenu=2&LeftMenu=1&BoardCode=71&OPEN_COURSE_SEQ=3265
51,자기계발,ASP00001S1001201100111,[농산물품질관리사]수확후품질관리론 이론,온라인,2011-12-01,2012-03-30,농산물품질관리사 자격증 취득을 희망하는 분,중급,없음
51,기타,ASP00001J101020170000092,도봉구 평생학습 전문강사 양성과정 [온라인수강신청],오프라인,2020-01-26,2020-08-22,없음,없음,http://edupia.dobong.go.kr/lifelongEdu/LecDetail.asp?TopMenu=2&LeftMenu=1&BoardCode=71&OPEN_COURSE_SEQ=3265
52,자기계발,ASP00001S1001201100112,[농산물품질관리사]농산물유통론 이론,온라인,2011-12-01,2012-03-30,농산물품질관리사 자격증 취득을 희망하는 분,중급,없음
52,기타,ASP00001J101020160000006,도봉구 평생학습 전문강사 양성과정 [온라인수강신청]  → 통합로그인 후 수강신청 가능합니다. ,오프라인,2020-01-26,2020-08-22,없음,없음,http://edupia.dobong.go.kr/lifelongEdu/LecDetail.asp?TopMenu=2&LeftMenu=1&BoardCode=71&OPEN_COURSE_SEQ=3265
53,자기계발,ASP00001S1001201100113,[농산물품질관리사]농산물품질관련법령 이론,온라인,2011-12-01,2012-03-30,농산물품질관리사 자격증 취득을 희망하는 분,중급,없음
