분류,공연/행사명,날짜/시간,장소,기관명,이용대상,이용요금,출연자정보,프로그램소개,기타내용,홈페이지?주소,대표이미지,신청일,시민/기관,시작일,종료일,테마분류
뮤지컬/오페라,뮤지컬 마마누요,2020-07-30~2020-08-16,대학로 SH아트홀,정부문화포털,만 13세 이상,전석 50000원,,<p style='text-align:center'><img alt='' height='7796' src='/ticketadmin/uploaded/product/description/9c36330c844c40cd9d17631871913865.jpg' width='750' /></p>  <p>&nbsp;</p>,,https://www.culture.go.kr/ticket/product/detail/new/PR006229,http://culture.seoul.go.krhttp://www.culture.go.kr/upload/rdf/20/07/rdf_2020072221233312958.jpg,2020-07-30,,00:00.0,00:00.0,기타
연극,<노동풍경1: 실업> (온라인 공연),2020-08-14~2020-08-21,전태일기념관,서울시청,만 13세 이상,무료,,[공연 소개] 몇 달 동안 읽은 이야기마다 기사마다 눈앞의 노동 풍경이 그 풍경의 변화가 초래한 고통이 생생하게 녹아 있다. 자본이 가부장적 온정주의를 지닌 종가가 되어 또 하나의 가족을 인화로 경영하기 시작한다. 일단 가족이 되면 성의껏 보살피고 그것이 기업의 도리라고 했다. 노조는 이를 응원했다. 그런데 그때 서자가 비정규직이 등장한다. 최근 화제가 되고 있는 플랫폼 노동권도 떠올리게 됐다. 실업은 자본이 버린 노동자이자 상품으로서의 노동이 언제나 직면하는 자기부정의 형태이다. 자본은 실업없이 존재할 수 없다. 자본의 힘이 강해졌다는 것은 또한 그만큼 실업이 늘어난다는 것이다. 과잉의 노동으로서의 실업이 존재하는 한 고용 노동은 자신을 노동으로써 완결할 수 없다. 노동은 투평한 사회적 집단으로서도 사회적 사실로서도 자신을 규정할 수 없는 것이다. 이는 실업을 포함하지 않은 노동은 영원히 온전히 노동일 수 없다는 말이기도 하다. 풍경의 소외에 동반되는 사람들의 소외까지 느껴졌다.,,https://www.taeil.org/performance/detail?id=21,http://culture.seoul.go.kr/data/ci/20200730145409.jpg,2020-07-30,기관,00:00.0,00:00.0,기타
연극,<권력에 맞서 진실을 외쳐라!> (온라인 공연),2020-08-07~2020-09-07,전태일기념관,서울시청,12세 이상 관람가,무료,,아름다운청년 전태일기념관 2020 공연예술단체 지원사업 선정작  종이로 만든 배 &lt;권력에 맞서 진실을 외쳐라!&gt;  [인권은 하나의 목소리에서 시작합니다]  연극 &lt;권력에 맞서 진실을 외쳐라!&gt;는 대작가 아리엘 도르프만이 5대륙 35개 나라의 인권운동가들을 인터뷰한 케리 케네디의 역동적인 책 《진실을 외쳐라 -세상을 바꿔가는 인권운동가들》을 희곡화한 작품입니다. 본 작품은 많이 알려지지 않은 인권운동가들의 목소리에 빛을 비춥니다.,,https://www.taeil.org/performance/detail?id=20,http://culture.seoul.go.kr/data/ci/20200729173104.jpg,2020-07-29,기관,00:00.0,00:00.0,기타
콘서트,전지적 밴드 시점〈다린-Song on the beach〉,2020-08-07~2020-08-07,마포아트센터 스튜디오 3,마포구청,8세이상관람가[미취학아동입장불가],전석 20000원,CAST 다린 강건후,다린 그리스어로 값진 선물(darin)을 뜻한다. 열 여덟의 신소회가 스스로에게 선물했다는 이 이름 만큼 그녀의 음악을 잘 설명할 수 있는 단어가 도 있을까. 섬세한 관찰력과 감각적인 표현이 돋보이는 가사는 마치 그림을 그리듯 평범한 일상에 색채를 부여하고 숨소리조차 음악으로 만드는 매력 적인 보이스는 계절의 시작처럼 명확하지 않은 것들을 새롭게 정의한다. 행복하면서도 쓸쓸하고 쓸쓸하면서도 따뜻한 음악 포크부터 재즈 R&amp;B에 이르기까지 그녀의 음악을 한 단어로 정의할 수 없지만 매 순간 변화하는 우리 삶 속 다린의 음악은 값진 선물과도 같다. &amp;quot;,다린만의 공감각적 심상. 어디론가 훌쩍 떠나고 싶은 날. Song on the beach 다린과 함께 하는 여름 밤 여행.,http://www.mapoartcenter.or.kr/mapoArt/f/jsp/performance/whole_view.jsp?idx=1909&amp;pageNm=whole_list,http://culture.seoul.go.kr/data/ci/20200728160325.jpg,2020-07-28,기관,00:00.0,00:00.0,기타
국악,[문화가 있는 날] MAC 천원의 문화공감〈신선新鮮놀음〉＂두번째달 X 소리꾼 김준수＂,2020-08-27~2020-08-27,마포구청 대강당,마포구청,8세이상 관람가[미취학아동입장불가],전석 1000원,두번째달 X 소리꾼 김준수,코로나19로 지친 몸과 마음에 생기를 충전해 줄 마포문화재단 사회공헌 프로그램 천원의 문화공감 8월의 주인공은 밴드 두번째달과 소리꾼 김준수이다. 구르미 그린 달빛 궁 푸른 바다의 전설 등의 드라마 삽입곡과 2018 평창 동계올림픽 폐막식 공연으로 잘 알려진 밴드 두번째달은 2016 년부터 국악과의 콜라보 프로젝트를 통해 색다르면서도 의미있는 행보를 이어오고 있다. 국립창극단의 소리꾼 김준수는 타고난 실력과 빼어난 매력으로 아이돌 스타 못지 않은 인기를 구가하며 우리 음악 알리기에 앞장서고 있다. 밴드 두번째달의 바이올린 만돌린 아이리쉬 휘슬 아코디언 일리언파이프 등 다양한 유럽의 민속악기들이 만들어내는 에스닉한 사운드와 한국 전통음악인 판소리와의 신선한 만남!,*연 주 곡*  서쪽하늘에 궁 메들리 사랑가 이별가 신연랐어 어사상봉 어사출두 쾌지나칭칭나네 두번째달 메들리 육자배기 상주아리랑진도아리랑 ※ 상기 프로그램은 연주자 사정에 의해 다소 변경될 수 있습니다.,http://www.mapoartcenter.or.kr/mapoArt/f/jsp/performance/whole_view.jsp?idx=1912&amp;pageNm=whole_list,http://culture.seoul.go.kr/data/ci/20200728155420.jpg,2020-07-28,기관,00:00.0,00:00.0,기타
콘서트,[ MAC 천원의 문화공감 ] 마포문화재단 X 공상집단 뚱딴지＂스튜디오 프로젝트 PART1＂〈남으로 살겠습니다〉,2020-08-20~2020-08-22,마포아트센터 스튜디오 3,마포구청,12세 이상관람가,전석 1000원,작 : 이하슬  연출 : 양경진 프로그래머 : 황이선 기획 : 박지인 음악 : 류승현(RAINBOW99) 사진 : 이정훈(명랑사진관) 출연: 정다연 박영민이훈희정혜인 조명오퍼 : 박지은  음향오퍼 : 오윤정 의상 : 김현진,마포아트센터 상주단체인 공상집단 뚱딴지와 마포문화재단이 함께 진행하는 [스튜디오 프로젝트]는 작년에 이어 올해에도 진행되는 공공프로그램입니다. 극장이 아닌 스튜디오 공간을 활용하여 다양하고 실험적인 프로젝트를 선보이고자 합니다. 특히 올해는 공상집단 뚱딴지의 창작 신작 공연으로 다채로운 예술 경험의 기회를 제공합니다.,&amp;quot;저 멀리 어딘가에는 내가 있을까 &amp;#39;나&amp;#39; 로 산다는 건 어떤 기분일까&amp;quot; &amp;#39;잠시’ 사라지고 싶은 마음이 쌓여 어느새 &amp;#39;영원히 사라지는 꿈을 꾸며 살아간다. 사라짐을 선택한 사람과 남겨진 사람들의 이야기.,http://www.mapoartcenter.or.kr/mapoArt/f/jsp/performance/whole_view.jsp?idx=1913&pageNm=whole_list,http://culture.seoul.go.kr/data/ci/20200728151011.jpg,2020-07-28,기관,00:00.0,00:00.0,기타
콘서트,2020 한빛예술단의 MUSIC in the DARK: Momentum,2020-08-11~2020-08-11,롯데콘서트홀,,7세이상,전석 3만원,한빛예술단 팬텀싱어3 베이스 구본수,&lt;우리의 일상이 다시 연주될 &amp;#39;모멘텀&amp;#39; MUSIC in the DARK: Momentum&gt;  악보기호 중 General Pause(게네랄 파우제. G.P.)가 있다. 악곡 중간에 모든 악기 또는 성부가 연주하지 않고 일제히 쉬라는 뜻이다.  코로나19로 인해 현재 우리가 겪고 있는 이 시간은 G.P.와 꽤 닮아 있다. 언제 끝날지 모르지만 이것이 모든 것의 종결은 아니란 것을  우리는 알고 있다. 휴지기는 종지와는 다르게 정적 순간에 한껏 응축된 에너지를 발생시켜 다음 장을 연주할 원동력이 된다.   8월 11일 Music in the Dark: Momentum이 우리의 일상을 다시 연주할 원동력이 될 것이다.   &lt;기적의 오케스트라 그 진한 감동의 한빛예술단&gt;  한빛예술단의 특별함은 첫 모습에서 확인된다. 무대 위 어디에도 지휘자와 악보가 보이지 않는다. 연주가 시작되고 숨죽인 관객들 사이를 오고 가는 아름답고 자유로운 선율. 하나가 되어 연주하는 호흡은 그들의 피와 땀이 녹아든 결정체이며 듣는 모든 이에게 진한 감동을 전한다.,,http://www.hanbitarts.co.kr/community/news/?uid=48&mod=document,http://culture.seoul.go.kr/data/ci/20200723120144.jpg,2020-07-23,시민,00:00.0,00:00.0,기타
클래식,브런치 콘서트 시즌3 <송영민의 브런치 콘서트>,2020-08-28~2020-08-28,노원문화예술회관 1층 대공연장,노원문화재단,8세 이상,전석 15000원,송영민 깊이있는 쇼팽부터 열정적인 라흐마니노프 숨소리까지 들리는 살롱음악회부터 풀오케스트라와 함께 하는 예술의 전당 콘서트홀무대까지. 탁월한 피아니스트이자 예술감독 기획자 해설자 사회자로 그 누구도 흉내낼 수 없는 자신만의 독특한 바이오그래피를 완성해 나가고 있는 우리시대의 젊은 예술가,드라마 ‘밀회’의 천재 피아니스트 이선재(배우 유아인)역의 실제 피아노 연주의 주인공 송영민이 진행하는 클래식 토크 콘서트,,https://www.nowonart.kr/kr/performance/view.php?param_url=https%3A%2F%2Fwww.nowonart.kr%2Fkr%2Fperformance%2Finfo.php%3F%26cate%3D%26skin%3D%26search_state%3D1%26search_syear%3D%26search_smonth%3D%26search_eyear%3D%26search_emonth%3D%26search_order%3D%26search_startPage%3D&idx=156,http://culture.seoul.go.kr/data/ci/20200716145021.jpg,2020-07-16,기관,00:00.0,00:00.0,기타
연극,음악극 <나포리 음악다방>,2020-08-13~2020-08-15,구로아트밸리 예술극장,구로문화재단,초등학생 이상,전석 20000원,조석준 &amp;verbar; DJ민혁 역 권태진 &amp;verbar; DJ진욱 역 손난희 &amp;verbar; 경자 역 김현준 &amp;verbar; 태훈 역 김수연 &amp;verbar; 선옥 역 신시아 &amp;verbar; 은지 역 조현숙 &amp;verbar; 은지모 역  나준연 &amp;verbar; 과장 역,지금까지 오랜 세월 동네를 지키며   한때 누군가의 아지트였던 ‘나포리 음악다방’의   유쾌한 웃음과 진한 감동의 눈물이 당신을 위로한다.   누구보다 자유로웠던 그때 그 시절  청춘들이 다시 만들어내는 뉴트로 음악다방 이야기!,,https://www.guroartsvalley.or.kr/performance/commonView?guroart_menu_cd=U0007&seq_no=3407&perDisGubun=performance&currRow=1,http://culture.seoul.go.kr/data/ci/20200716110626.jpg,2020-07-16,기관,00:00.0,00:00.0,기타
클래식,2020 서울시향 오스모 벤스케의 멘델스존 교향곡- 이탈리아-,2020-08-27~2020-08-27,예술의전당 콘서트홀,서울시립교향악단,만 7세 이상,R석 : 70000원 S석 : 50000원 A석 : 30000원 B석 : 20000원 C석 : 10000원,,코플런드 보통사람을 위한 팡파르 코플런드 애팔래치아의 봄 본윌리엄스 종달새의 비상 멘델스존 교향곡 제4번 ‘이탈리아’,,https://www.seoulphil.or.kr/perf/view?perfNo=1208&amp;calendarDate=2020/08/01&amp;langCd=ko&amp;menuFlag=MFLG0001,http://culture.seoul.go.kr/data/ci/20200715162839.JPG,2020-07-15,기관,00:00.0,00:00.0,기타
